"time","I0","Ii","Iy"
5.78,300,-126.6563221783699,340.8422476662427
5.8,300,-126.63216098663598,340.814020846736
5.82,300,-126.60812755409049,340.7859431876524
5.84,300,-126.584221206692,340.7580139030551
5.86,300,-126.56044127402716,340.7302322111661
5.88,300,-126.53678708929591,340.7025973343403
5.9,300,-126.51325798929707,340.67510849903755
5.92,300,-126.48985331441347,340.64776493579774
5.94,300,-126.4665724085974,340.6205658792125
5.96,300,-126.44341461935599,340.59351056790007
5.98,300,-126.42037929773655,340.56659824447746
6,300,-126.39746579831183,340.5398281555347
6.02,300,-126.37467347916552,340.5131995516076
6.04,300,-126.3520017018775,340.48671168715185
6.06,300,-126.32944983150917,340.4603638205158
6.08,300,-126.30701665301291,340.4341551246693
6.1,300,-126.28470185394114,340.40808491392585
6.12,300,-126.26250492870949,340.3821524763509
6.14,300,-126.24042524279068,340.35635708355346
6.16,300,-126.21846216441554,340.33069801080325
6.18,300,-126.19661506454479,340.3051745370013
6.2,300,-126.17488331684048,340.279785944652
6.22,300,-126.15326629763771,340.25453151983356
6.24,300,-126.13176338591634,340.22941055216984
6.26,300,-126.11037396327237,340.20442233480173
6.28,300,-126.08909741388982,340.1795661643579
6.3,300,-126.06793312451212,340.1548413409265
6.32,300,-126.04688048441396,340.13024716802653
6.34,300,-126.0259388853728,340.1057829525787
6.36,300,-126.00510772164039,340.08144800487696
6.38,300,-125.98438638991459,340.0572416385599
6.4,300,-125.96377428931083,340.033163170582
6.42,300,-125.94327082133393,340.00921192118454
6.44,300,-125.92287538984942,339.9853872138676
6.46,300,-125.90258740105546,339.9616883753606
6.48,300,-125.88240626345424,339.938114735594
6.5,300,-125.8623313878238,339.9146656276707
6.52,300,-125.84236316700999,339.8913405101957
6.54,300,-125.82250118998424,339.86813874422495
6.56,300,-125.80274410237207,339.8450595758231
6.58,300,-125.78309135839675,339.8221023548187
6.6,300,-125.76354241611173,339.79926643428126
6.62,300,-125.74409673740892,339.77655117049625
6.64,300,-125.72475378802578,339.7539559229412
6.66,300,-125.70551303755335,339.7314800542621
6.68,300,-125.68637395944371,339.70912293024816
6.7,300,-125.6673360310178,339.6868839198082
6.72,300,-125.64839873347297,339.66476239494637
6.74,300,-125.62956155189063,339.6427577307381
6.76,300,-125.61082397524403,339.6208693053052
6.78,300,-125.59218549640575,339.5990964997925
6.8,300,-125.5736456121556,339.57743869834337
6.82,300,-125.55520382318794,339.555895288075
6.84,300,-125.53685963411974,339.53446565905506
6.86,300,-125.51861255349787,339.5131492042766
6.88,300,-125.50046209380703,339.49194531963445
6.9,300,-125.48240777147728,339.47085340390083
6.92,300,-125.46444910689178,339.4498728587013
6.94,300,-125.4465856243943,339.42900308848994
6.96,300,-125.42881639443085,339.40824359539215
6.98,300,-125.41113981531376,339.38759402439797
7,300,-125.39355663979336,339.36705353625894
7.02,300,-125.37606637370439,339.3466215536367
7.04,300,-125.35866852518103,339.32629750225215
7.06,300,-125.34136260462795,339.30608081087047
7.08,300,-125.32414812469194,339.285970911283
7.1,300,-125.30702460023305,339.2659672382912
7.12,300,-125.28999154829609,339.2460692296898
7.14,300,-125.27304848808181,339.2262763262503
7.16,300,-125.25619494091833,339.206587971704
7.18,300,-125.23943043023264,339.1870036127255
7.2,300,-125.22275448152162,339.167522698916
7.22,300,-125.2061666223236,339.1481446827865
7.24,300,-125.18966638218961,339.1288690197412
7.26,300,-125.17325329265492,339.1096951680608
7.28,300,-125.15692688721008,339.0906225888859
7.3,300,-125.14068670127246,339.0716507462003
7.32,300,-125.12453227215758,339.05277910681394
7.34,300,-125.1084631390504,339.03400714034666
7.36,300,-125.09247884297667,339.01533431921143
7.38,300,-125.07657892677436,338.9967601185975
7.4,300,-125.06076293506484,338.978284016454
7.42,300,-125.04503105383665,338.95990563965273
7.44,300,-125.0293823297385,338.9416243570075
7.46,300,-125.0138163086576,338.923439653752
7.48,300,-124.99833255402545,338.90535102144116
7.5,300,-124.98293063149295,338.8873579544384
7.52,300,-124.9676101089137,338.8694599499019
7.54,300,-124.95237055632771,338.8516565077707
7.56,300,-124.93721154594495,338.8339471307507
7.58,300,-124.9221326521287,338.81633132430073
7.6,300,-124.90713345137918,338.79880859661864
7.62,300,-124.89221352231716,338.78137845862767
7.64,300,-124.87737244566733,338.7640404239622
7.66,300,-124.86260980424193,338.74679400895405
7.68,300,-124.84792518292427,338.7296387326185
7.7,300,-124.83331816865218,338.7125741166404
7.72,300,-124.8187883504017,338.6955996853602
7.74,300,-124.80433531917045,338.6787149657604
7.76,300,-124.78995866796116,338.6619194874508
7.78,300,-124.77565799176533,338.6452127826556
7.8,300,-124.7614328875467,338.6285943861994
7.82,300,-124.74728295422469,338.6120638354919
7.84,300,-124.73320779265804,338.5956206705161
7.86,300,-124.71920703391473,338.57926431097104
7.88,300,-124.70528027308661,338.56299434361546
7.9,300,-124.69142710634908,338.54681036124094
7.92,300,-124.67764714289977,338.5307119107376
7.94,300,-124.66393999382984,338.51469854134024
7.96,300,-124.65030527210789,338.4987698046111
7.98,300,-124.63674259256466,338.48292525442236
8,300,-124.62325157187698,338.46716444693953
8.02,300,-124.60983182855226,338.4514869406032
8.04,300,-124.59648298291268,338.43589229611274
8.06,300,-124.5832046570796,338.4203800764083
8.08,300,-124.5699964749578,338.4049498466541
8.1,300,-124.55685806221979,338.3896011742211
8.12,300,-124.54378904629006,338.3743336286694
8.14,300,-124.53078905632947,338.3591467817311
